SalesDetailsKey,SalesHeaderKey,SalesOrderNumber,ProductKey,ProductSubcategoryKey,OrderQuantity,UnitPrice,ExtendedAmount,OrderDate,DueDate,ShipDate,CustomerKey,RegionKey,Unit Cost,% Discount
49741,3075,SO63182,572,17,1,445.41,445.41,"Wednesday, July 31, 2013","Monday, August 12, 2013","Monday, July 8, 2013",522,2,125.007,"0,031239593"
50178,2297,SO63220,572,17,1,445.41,445.41,"Wednesday, July 31, 2013","Monday, August 12, 2013","Monday, July 8, 2013",8,5,125.007,"0,041817806"
50383,344,SO63240,572,17,1,445.41,445.41,"Wednesday, July 31, 2013","Monday, August 12, 2013","Monday, July 8, 2013",131,4,125.007,"0,026383476"
50400,3360,SO63241,572,17,1,445.41,445.41,"Wednesday, July 31, 2013","Monday, August 12, 2013","Monday, July 8, 2013",520,10,125.007,"0,038356503"
51022,2334,SO63293,572,17,1,445.41,445.41,"Wednesday, July 31, 2013","Monday, August 12, 2013","Monday, July 8, 2013",260,5,125.007,"0,035970116"
51121,60,SO65157,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",582,4,125.007,"0,028630746"
51370,3681,SO65172,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",688,9,208.345,"0,153264193"
51568,3673,SO65182,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",249,9,208.345,"0,093544599"
51611,468,SO65184,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",186,4,125.007,"0,025990326"
51845,1931,SO65203,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",38,1,125.007,"0,030023723"
52440,668,SO65244,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",295,4,125.007,"0,023089297"
52519,3708,SO65250,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",682,9,208.345,"0,176860071"
52667,2607,SO65261,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",223,3,125.007,"0,021859294"
52729,1524,SO65268,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",55,1,125.007,"0,019879505"
52835,1759,SO65278,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",308,1,125.007,"0,023756682"
52961,1933,SO65296,572,17,1,445.41,445.41,"Thursday, August 29, 2013","Tuesday, September 10, 2013","Thursday, May 9, 2013",595,1,125.007,"0,021930759"
53750,307,SO67279,572,17,1,445.41,445.41,"Sunday, September 29, 2013","Friday, October 11, 2013","Monday, June 10, 2013",331,4,125.007,"0,030747544"
53809,2871,SO67282,572,17,1,445.41,445.41,"Sunday, September 29, 2013","Friday, October 11, 2013","Monday, June 10, 2013",691,2,125.007,"0,037922783"
54322,712,SO67311,572,17,1,445.41,445.41,"Sunday, September 29, 2013","Friday, October 11, 2013","Monday, June 10, 2013",95,4,125.007,"0,044233"
54329,3721,SO67312,572,17,1,445.41,445.41,"Sunday, September 29, 2013","Friday, October 11, 2013","Monday, June 10, 2013",123,9,208.345,"0,099918602"
55442,3261,SO69415,572,17,1,445.41,445.41,"Tuesday, October 29, 2013","Sunday, November 10, 2013","Saturday, May 11, 2013",283,7,125.007,"0,019621146"
56420,2840,SO69467,572,17,1,445.41,445.41,"Tuesday, October 29, 2013","Sunday, November 10, 2013","Saturday, May 11, 2013",522,2,125.007,"0,017923825"
56505,1511,SO69475,572,17,1,445.41,445.41,"Tuesday, October 29, 2013","Sunday, November 10, 2013","Saturday, May 11, 2013",605,1,125.007,"0,033626005"
56655,1027,SO69482,572,17,1,445.41,445.41,"Tuesday, October 29, 2013","Sunday, November 10, 2013","Saturday, May 11, 2013",138,6,125.007,"0,041733092"
56944,3549,SO69511,572,17,1,445.41,445.41,"Tuesday, October 29, 2013","Sunday, November 10, 2013","Saturday, May 11, 2013",266,8,125.007,"0,031373527"
57849,1993,SO69565,572,17,1,445.41,445.41,"Tuesday, October 29, 2013","Sunday, November 10, 2013","Saturday, May 11, 2013",8,5,125.007,"0,025500503"
58124,368,SO71787,572,17,1,445.41,445.41,"Friday, November 29, 2013","Wednesday, December 11, 2013","Wednesday, June 12, 2013",509,4,125.007,"0,024256636"
58273,3679,SO71795,572,17,1,445.41,445.41,"Friday, November 29, 2013","Wednesday, December 11, 2013","Wednesday, June 12, 2013",688,9,208.345,"0,122002283"
59178,1534,SO71835,572,17,1,445.41,445.41,"Friday, November 29, 2013","Wednesday, December 11, 2013","Wednesday, June 12, 2013",621,1,125.007,"0,023237113"
59480,18,SO71848,572,17,1,445.41,445.41,"Friday, November 29, 2013","Wednesday, December 11, 2013","Wednesday, June 12, 2013",59,4,125.007,"0,024328859"
59504,2072,SO71850,572,17,1,445.41,445.41,"Friday, November 29, 2013","Wednesday, December 11, 2013","Wednesday, June 12, 2013",477,5,125.007,"0,029052036"
59718,2113,SO71866,572,17,1,445.41,445.41,"Friday, November 29, 2013","Wednesday, December 11, 2013","Wednesday, June 12, 2013",627,5,125.007,"0,035373419"
60430,1605,SO71919,572,17,1,445.41,445.41,"Friday, November 29, 2013","Wednesday, December 11, 2013","Wednesday, June 12, 2013",38,1,125.007,"0,03049206"
60661,3776,SO71944,572,17,1,445.41,445.41,"Friday, November 29, 2013","Wednesday, December 11, 2013","Wednesday, June 12, 2013",616,9,208.345,"0,233496832"
39908,3371,SO55236,566,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",34,10,125.364,"0,030096033"
39979,3774,SO55240,566,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",429,9,208.94,"0,138524056"
39980,3774,SO55240,570,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",429,9,208.71,"0,138524056"
40381,510,SO55256,571,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",331,4,122.289,"0,029168669"
40382,510,SO55256,569,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",331,4,124.857,"0,029168669"
40435,3704,SO55258,586,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",123,9,208.075,"0,23504844"
40436,3704,SO55258,568,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",123,9,208.005,"0,23504844"
40446,2936,SO55259,568,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",691,2,124.803,"0,030796722"
40447,2936,SO55259,586,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",691,2,124.845,"0,030796722"
40448,2936,SO55259,571,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",691,2,122.289,"0,030796722"
40449,2936,SO55259,567,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",691,2,125.364,"0,030796722"
40507,810,SO55263,569,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",120,6,124.857,"0,027460841"
40520,810,SO55263,586,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",120,6,124.845,"0,027460841"
40744,458,SO55276,566,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",205,4,125.364,"0,02514296"
40986,1477,SO55291,566,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",505,1,125.364,"0,024644337"
40998,3576,SO55293,565,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",86,8,125.052,"0,03560546"
41132,1687,SO55299,567,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",110,1,125.364,"0,028399453"
41171,3732,SO55300,568,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",231,9,208.005,"0,168647058"
41172,3732,SO55300,585,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",231,9,205.04,"0,168647058"
41173,3732,SO55300,566,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",231,9,208.94,"0,168647058"
41174,3732,SO55300,571,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",231,9,203.815,"0,168647058"
41175,3732,SO55300,567,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",231,9,208.94,"0,168647058"
41176,3732,SO55300,569,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",231,9,208.095,"0,168647058"
41177,3732,SO55300,586,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",231,9,208.075,"0,168647058"
41178,3732,SO55300,570,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",231,9,208.71,"0,168647058"
41319,3728,SO55307,569,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",177,9,208.095,"0,182227422"
41333,3562,SO55309,566,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",320,8,125.364,"0,031859498"
41544,1802,SO55325,570,17,1,445.41,445.41,"Saturday, March 30, 2013","Thursday, April 11, 2013","Tuesday, June 4, 2013",451,1,125.226,"0,024068777"
41664,3583,SO57012,566,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",230,8,125.364,"0,022497755"
41773,830,SO57019,571,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",64,6,122.289,"0,021884228"
41774,830,SO57019,569,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",64,6,124.857,"0,021884228"
41775,830,SO57019,585,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",64,6,123.024,"0,021884228"
41850,818,SO57024,568,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",264,6,124.803,"0,029466182"
41851,818,SO57024,570,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",264,6,125.226,"0,029466182"
41888,1608,SO57026,566,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",361,1,125.364,"0,026924218"
41889,1608,SO57026,568,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",361,1,124.803,"0,026924218"
41890,1608,SO57026,571,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",361,1,122.289,"0,026924218"
42007,3700,SO57032,586,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",213,9,208.075,"0,151856742"
42161,2669,SO57041,566,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",363,3,125.364,"0,032648401"
42162,2669,SO57041,565,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",363,3,125.052,"0,032648401"
42224,1762,SO57045,570,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",199,1,125.226,"0,019567889"
42393,3181,SO57054,566,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",614,7,125.364,"0,035037537"
42454,3246,SO57058,567,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",103,7,125.364,"0,021963967"
42462,3246,SO57058,565,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",103,7,125.052,"0,021963967"
42463,3246,SO57058,569,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",103,7,124.857,"0,021963967"
42464,3246,SO57058,566,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",103,7,125.364,"0,021963967"
42465,3246,SO57058,568,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",103,7,124.803,"0,021963967"
43043,2892,SO57087,569,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",522,2,124.857,"0,034637155"
43269,1020,SO57103,568,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",138,6,124.803,"0,02171429"
43576,3739,SO57127,570,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",87,9,208.71,"0,198927999"
43634,1717,SO57130,570,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",693,1,125.226,"0,035507877"
43670,362,SO57131,567,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",131,4,125.364,"0,033834316"
43671,362,SO57131,571,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",131,4,122.289,"0,033834316"
43672,362,SO57131,565,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",131,4,125.052,"0,033834316"
43921,3209,SO57143,570,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",193,7,125.226,"0,032219948"
44057,3285,SO57150,570,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",85,7,125.226,"0,03362584"
44117,841,SO57154,566,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",263,6,125.364,"0,038641751"
44118,841,SO57154,570,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",263,6,125.226,"0,038641751"
44342,681,SO57173,568,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",399,4,124.803,"0,021400626"
44420,3432,SO57185,569,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",556,10,124.857,"0,02715463"
44492,3702,SO57187,568,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",519,9,208.005,"0,128875637"
44493,3702,SO57187,586,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",519,9,208.075,"0,128875637"
44540,2325,SO57190,586,17,1,445.41,445.41,"Tuesday, April 30, 2013","Sunday, May 12, 2013","Friday, July 5, 2013",8,5,124.845,"0,036438275"
44627,87,SO58907,571,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",582,4,122.289,"0,027224432"
44628,87,SO58907,565,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",582,4,125.052,"0,027224432"
44629,87,SO58907,568,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",582,4,124.803,"0,027224432"
44670,3417,SO58908,570,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",448,10,125.226,"0,041278985"
44671,3417,SO58908,586,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",448,10,124.845,"0,041278985"
44848,3677,SO58915,569,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",688,9,208.095,"0,138328215"
44849,3677,SO58915,567,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",688,9,208.94,"0,138328215"
44976,418,SO58919,566,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",420,4,125.364,"0,036426823"
45072,3675,SO58922,571,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",249,9,203.815,"0,187788502"
45073,3675,SO58922,565,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",249,9,208.42,"0,187788502"
45074,3675,SO58922,567,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",249,9,208.94,"0,187788502"
45075,3675,SO58922,570,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",249,9,208.71,"0,187788502"
45106,2097,SO58924,569,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",297,5,124.857,"0,022130035"
45114,2097,SO58924,565,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",297,5,125.052,"0,022130035"
45115,2097,SO58924,585,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",297,5,123.024,"0,022130035"
45116,2097,SO58924,568,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",297,5,124.803,"0,022130035"
45117,2097,SO58924,570,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",297,5,125.226,"0,022130035"
45142,1084,SO58925,570,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",282,6,125.226,"0,028363482"
45143,1084,SO58925,566,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",282,6,125.364,"0,028363482"
45144,1084,SO58925,569,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",282,6,124.857,"0,028363482"
45145,1084,SO58925,571,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",282,6,122.289,"0,028363482"
45372,1082,SO58932,565,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",408,6,125.052,"0,031013863"
45437,3343,SO58936,565,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",553,7,125.052,"0,030264251"
45441,343,SO58937,586,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",295,4,124.845,"0,043182706"
45450,1381,SO58939,568,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",228,6,124.803,"0,030129544"
45551,3118,SO58945,568,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",53,2,124.803,"0,032156752"
45554,1572,SO58946,566,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",672,1,125.364,"0,031657251"
45585,3730,SO58948,569,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",682,9,208.095,"0,140124154"
45586,3730,SO58948,565,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",682,9,208.42,"0,140124154"
45587,3730,SO58948,585,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",682,9,205.04,"0,140124154"
45588,3730,SO58948,568,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",682,9,208.005,"0,140124154"
45770,848,SO58958,570,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",281,6,125.226,"0,025036635"
45851,1712,SO58961,567,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",182,1,125.364,"0,032841494"
45852,1712,SO58961,565,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",182,1,125.052,"0,032841494"
45911,1637,SO58962,586,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",621,1,124.845,"0,028201584"
45912,1637,SO58962,568,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",621,1,124.803,"0,028201584"
45913,1637,SO58962,567,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",621,1,125.364,"0,028201584"
45990,1912,SO58966,586,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",38,1,124.845,"0,019541111"
45994,3304,SO58968,586,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",319,7,124.845,"0,023773807"
45995,3304,SO58968,568,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",319,7,124.803,"0,023773807"
46045,2049,SO58971,569,17,1,445.41,445.41,"Thursday, May 30, 2013","Tuesday, June 11, 2013","Thursday, June 6, 2013",611,5,124.857,"0,027302128"
